countryName,totalVotes,demoVotes,repVotes
Alabama,2074338,795696,1255925
Alaska,300495,122640,164676
Arizona,2299254,1025232,1233654
Arkansas,1069468,394409,647744
California,13038547,7854285,4839958
Colorado,2569520,1323101,1185243
Connecticut,1558960,905083,634892
Delaware,413921,242584,165484
Dist. of Col.,293764,267070,21381
Florida,8474179,4237756,4163447
Georgia,3900050,1773827,2078688
Hawaii,434697,306658,121015
Idaho,652274,212787,420911
Illinois,5242014,3019512,2135216
Indiana,2624534,1152887,1420543
Iowa,1582180,822544,730617
Kansas,1159971,440726,692634
Kentucky,1797212,679370,1087190
Louisiana,1994065,809141,1152262
Maine,713180,401306,292276
Maryland,2707327,1677844,971869
Massachusetts,3167767,1921290,1188314
Michigan,4730961,2564569,2115256
Minnesota,2936561,1546167,1320225
Mississippi,1285584,562949,710746
Missouri,2757323,1223796,1482440
Montana,484048,201839,267928
Nebraska,794379,302081,475064
Nevada,1014918,531373,463567
New Hampshire,710972,369561,329918
New Jersey,3638499,2122786,1478088
New Mexico,783758,415335,335788
New York,7061925,4471871,2485432
North Carolina,4505372,2178391,2270395
North Dakota,322932,124966,188320
Ohio,5580822,2827621,2661407
Oklahoma,1334872,443547,891325
Oregon,1789270,970488,754175
Pennsylvania,5753670,2990274,2680434
Rhode Island,446049,279677,157204
South Carolina,1964118,865941,1071645
South Dakota,363815,145039,210610
Tennessee,2458577,960709,1462330
Texas,7993851,3308124,4569843
Utah,1017440,251813,740600
Vermont,299290,199239,92698
Virginia,3854490,1971820,1822522
Washington,3125516,1755396,1290670
West Virginia,670438,238269,417655
Wisconsin,3071434,1620985,1410966
Wyoming,249061,69286,170962
